time,x,y,theta
265,-3.98342,5.46894,-1.26637
266,-3.7984,5.00494,-1.11637
267,-3.544,4.57512,-0.956368
268,-3.22249,4.19297,-0.786368
269,-2.83942,3.87269,-0.606368
270,-2.40404,3.62837,-0.416368
271,-1.95762,3.40364,-0.516368
272,-1.5345,3.13756,-0.606368
273,-1.13547,2.83649,-0.686368
274,-0.760094,2.50636,-0.756368
275,-0.406937,2.15251,-0.816368
276,-0.0737498,1.77977,-0.866368
277,0.242344,1.39241,-0.906368
278,0.544699,0.994209,-0.936368
279,0.83701,0.588568,-0.956368
280,1.12321,0.178583,-0.966368
281,1.40735,-0.23283,-0.966368
282,1.69355,-0.642815,-0.956368
283,1.98586,-1.04846,-0.936368
284,2.28822,-1.44666,-0.906368
285,2.60431,-1.83402,-0.866368
286,2.9375,-2.20676,-0.816368
287,3.29066,-2.5606,-0.756368
288,3.66603,-2.89074,-0.686368
289,4.06506,-3.19181,-0.606368
290,4.48818,-3.45789,-0.516368
291,4.9346,-3.68262,-0.416368
292,5.40207,-3.85931,-0.306368
293,5.88668,-3.98118,-0.186368
294,6.38266,-4.04167,-0.0563679
295,6.8822,-4.03486,0.083632
296,7.37546,-3.95595,0.233632
297,7.85056,-3.80185,0.393632
298,8.29384,-3.57185,0.563632
299,8.69025,-3.26822,0.743632
300,9.02398,-2.89692,0.933632
301,9.34103,-2.51055,0.833632
302,9.69332,-2.15598,0.743632
303,10.0745,-1.83257,0.663632
304,10.4788,-1.53861,0.593632
305,10.9014,-1.27152,0.533632
306,11.3381,-1.02805,0.483632
307,11.7852,-0.804469,0.443632
308,12.24,-0.596663,0.413632
309,12.6998,-0.400285,0.393632
310,13.1625,-0.210826,0.383632
311,13.6262,-0.0236803,0.383632
312,14.0889,0.165779,0.393632
313,14.5487,0.362157,0.413632
314,15.0034,0.569963,0.443632
315,15.4506,0.793548,0.483632
316,15.8873,1.03701,0.533632
317,16.3099,1.3041,0.593632
318,16.7142,1.59806,0.663632
319,17.0954,1.92147,0.743632
320,17.4477,2.27605,0.833632
321,17.7647,2.66241,0.933632
322,18.0395,3.07984,1.04363
323,18.2645,3.526,1.16363
324,18.4322,3.99668,1.29363
325,18.5349,4.48559,1.43363
326,18.566,4.98416,1.58363
327,18.5197,5.48147,1.74363
328,18.3923,5.96436,1.91363
329,18.1829,6.41764,2.09363
330,17.8937,6.82459,2.28363
331,17.5861,7.21855,2.18363
332,17.3173,7.63994,2.09363
333,17.0852,8.08267,2.01363
334,16.887,8.54156,1.94363
335,16.7189,9.0124,1.88363
336,16.577,9.49178,1.83363
337,16.4568,9.97707,1.79363
338,16.3536,10.4663,1.76363
339,16.2627,10.958,1.74363
340,16.1792,11.4509,1.73363
341,16.0981,11.9443,1.73363
342,16.0146,12.4373,1.74363
343,15.9237,12.9289,1.76363
344,15.8205,13.4182,1.79363
345,15.7003,13.9035,1.83363
346,15.5584,14.3828,1.88363
347,15.3903,14.8537,1.94363
348,15.192,15.3126,2.01363
349,14.9599,15.7553,2.09363
350,14.6911,16.1767,2.18363
351,14.3836,16.5706,2.28363
352,14.0365,16.9302,2.39363
353,13.6504,17.2475,2.51363
354,13.2279,17.5141,2.64363
355,12.7733,17.7215,2.78363
356,12.2937,17.8609,2.93363
357,11.7983,17.9247,3.09363
358,11.2992,17.9062,-3.01955
359,10.8111,17.8011,-2.83955
360,10.3507,17.608,-2.64955
361,9.89893,17.3942,-2.74955
362,9.4289,17.2242,-2.83955
363,8.9461,17.0947,-2.91955
364,8.45492,17.0018,-2.98955
365,7.95871,16.9409,-3.04955
366,7.45989,16.9074,-3.09955
367,6.96005,16.8964,-3.13955
368,6.46011,16.9029,3.11363
369,5.96048,16.9219,3.09363
370,5.46118,16.9483,3.08363
371,4.96202,16.9773,3.08363
372,4.46272,17.0038,3.09363
373,3.96309,17.0227,3.11363
374,3.46315,17.0292,-3.13955
375,2.96331,17.0182,-3.09955
376,2.46448,16.9847,-3.04955
377,1.96828,16.9238,-2.98955
378,1.4771,16.8309,-2.91955
379,0.994297,16.7014,-2.83955
380,0.524264,16.5314,-2.74955
381,0.0725125,16.3176,-2.64955
382,-0.354306,16.0576,-2.53955
383,-0.748439,15.7505,-2.41955
384,-1.10116,15.3966,-2.28955
385,-1.40301,14.9985,-2.14955
386,-1.64415,14.561,-1.99955
387,-1.81483,14.0916,-1.83955
388,-1.90608,13.6006,-1.66955
389,-1.91045,13.1013,-1.48955
390,-1.82292,12.6098,-1.29955
391,-1.71324,12.1222,-1.39955
392,-1.65031,11.6263,-1.48955
393,-1.6297,11.1269,-1.56955
394,-1.64657,10.6273,-1.63955
395,-1.69586,10.1298,-1.69955
396,-1.77243,9.63574,-1.74955
397,-1.87115,9.14562,-1.78955
398,-1.98696,8.65924,-1.81955
399,-2.11489,8.17589,-1.83955
400,-2.25007,7.69451,-1.84955
401,-2.38765,7.21381,-1.84955
402,-2.52282,6.73243,-1.83955
403,-2.65076,6.24909,-1.81955
404,-2.76657,5.7627,-1.78955
405,-2.86529,5.27258,-1.74955
406,-2.94186,4.77853,-1.69955
407,-2.99115,4.28104,-1.63955
408,-3.00802,3.78143,-1.56955
409,-2.98741,3.28199,-1.48955
410,-2.92447,2.78613,-1.39955
411,-2.8148,2.29852,-1.29955
412,-2.65464,1.82514,-1.18955
413,-2.44123,1.3733,-1.06955
414,-2.17319,0.951633,-0.939552
415,-1.85087,0.569925,-0.799552
416,-1.47682,0.238836,-0.649552
417,-1.0562,-0.0305041,-0.489552
418,-0.59711,-0.227071,-0.319552
419,-0.110883,-0.340688,-0.139552
420,0.38787,-0.362923,0.0504479
421,0.887662,-0.362699,-0.0495521
422,1.38526,-0.409889,-0.139552
423,1.87709,-0.49916,-0.219552
424,2.36088,-0.62504,-0.289552
425,2.8355,-0.782087,-0.349552
426,3.30079,-0.964996,-0.399552
427,3.75739,-1.16866,-0.439552
428,4.2066,-1.38818,-0.469552
429,4.6502,-1.61887,-0.489552
430,5.09028,-1.85619,-0.499552
431,5.52918,-2.0957,-0.499552
432,5.96927,-2.33302,-0.489552
433,6.41287,-2.56371,-0.469552
434,6.86208,-2.78323,-0.439552
435,7.31868,-2.98689,-0.399552
436,7.78397,-3.1698,-0.349552
437,8.25859,-3.32685,-0.289552
438,8.74238,-3.45273,-0.219552
439,9.23421,-3.542,-0.139552
440,9.73181,-3.58919,-0.0495521
441,10.2316,-3.58896,0.0504479
442,10.7286,-3.53636,0.160448
443,11.2162,-3.4271,0.280448
444,11.6863,-3.25791,0.410448
445,12.1293,-3.02701,0.550448
446,12.5343,-2.73455,0.700448
447,12.8892,-2.38313,0.860448
448,13.1816,-1.97824,1.03045
449,13.3989,-1.5287,1.21045
450,13.5298,-1.04692,1.40045
451,13.6391,-0.559213,1.30045
452,13.7941,-0.0840287,1.21045
453,13.9889,0.376311,1.13045
454,14.2177,0.820788,1.06045
455,14.4749,1.24949,1.00045
456,14.7552,1.66342,0.950448
457,15.054,2.06434,0.910448
458,15.3665,2.45457,0.880448
459,15.6888,2.83687,0.860448
460,16.0167,3.2143,0.850448
461,16.3465,3.59009,0.850448
462,16.6745,3.96752,0.860448
463,16.9967,4.34982,0.880448
464,17.3093,4.74005,0.910448
465,17.608,5.14097,0.950448
466,17.8884,5.5549,1.00045
467,18.1455,5.98361,1.06045
468,18.3743,6.42808,1.13045
469,18.5691,6.88842,1.21045
470,18.7242,7.36361,1.30045
471,18.8334,7.85131,1.40045
472,18.8909,8.34774,1.51045
473,18.8911,8.84744,1.63045
474,18.829,9.34321,1.76045
475,18.7007,9.82606,1.90045
476,18.504,10.2852,2.05045
477,18.2389,10.7085,2.21045
478,17.9078,11.0824,2.38045
479,17.5168,11.393,2.56045
480,17.0754,11.6262,2.75045
481,16.6235,11.8396,2.65045
482,16.1938,12.0949,2.56045
483,15.7873,12.3858,2.48045
484,15.4037,12.7064,2.41045
485,15.0417,13.0512,2.35045
486,14.6992,13.4154,2.30045
487,14.3735,13.7947,2.26045
488,14.0612,14.1852,2.23045
489,13.7587,14.5833,2.21045
490,13.4623,14.9859,2.20045
491,13.1678,15.3901,2.20045
492,12.8714,15.7927,2.21045
493,12.569,16.1908,2.23045
494,12.2566,16.5813,2.26045
495,11.9309,16.9605,2.30045
496,11.5884,17.3248,2.35045
497,11.2264,17.6696,2.41045
498,10.8429,17.9901,2.48045
499,10.4364,18.2811,2.56045
